environment,classwork_stress,homework_stress,homework_hours,gender,time_frame,paired
Physical,1,3,2,Male,before,1
Physical,5,4,2,Male,before,2
Virtual,1,3,10,Female,before,3
Physical,4,4,6,Male,before,4
Physical,3,4,4,Male,before,5
Physical,1,1,3,Male,before,6
Physical,2,3,3,Female,before,7
Physical,1,3,3,Male,before,8
Hybrid,3,3,3,Female,before,9
Physical,2,2,1,Female,before,10
Hybrid,3,2,4,Male,before,11
Physical,2,3,4,Female,before,12
Virtual,1,1,3,Female,before,13
Physical,2,2,4,Female,before,14
Physical,2,3,5,Female,before,15
Physical,5,4,9,Female,before,16
Physical,0,0,0,Female,before,17
Physical,3,5,3.5,Female,before,18
Physical,4,4,1,Male,before,19
Physical,2,5,2,Other,before,20
Physical,3,5,4,Female,before,21
Physical,3,4,3,Male,before,22
Physical,1,1,1,NA,before,23
Physical,2,3,1,Male,before,24
Physical,4,5,5,Male,before,25
Physical,1,3,3,Other,before,26
Physical,2,3,0,Male,before,27
Physical,4,4,2.5,Female,before,28
Physical,2,3,0,Female,before,29
Physical,2,1,0,Female,before,30
Physical,1,2,1,NA,before,31
Physical,3,4,1,Male,before,32
Physical,2,5,4,Male,before,33
Physical,2,2,1,Male,before,34
Physical,3,4,2,Male,before,35
Hybrid,1,4,2,Female,before,36
Physical,6,4,2,NA,before,37
Physical,2,2,3,Female,before,38
Virtual,2,1,1,Female,before,39
Physical,2,3,3,Female,before,40
Virtual,3,5,4.5,Male,after,1
Virtual,3,5,2.5,Male,after,2
Virtual,3,5,15,Female,after,3
Physical,5,1,6,Male,after,4
Physical,5,5,6,Male,after,5
Virtual,5,6,14,Male,after,6
Virtual,3,5,6,Female,after,7
Virtual,5,5,5,Male,after,8
Hybrid,2,4,1,Female,after,9
Virtual,1,2,5,Female,after,10
Virtual,4,3,4,Male,after,11
Virtual,4,5,8,Female,after,12
Virtual,5,6,5,Female,after,13
Virtual,2,3,7,Female,after,14
Virtual,6,6,7,Female,after,15
Virtual,6,5,10,Female,after,16
Virtual,3,3,6,Female,after,17
Physical,3,2,1.5,Female,after,18
Virtual,4,4,2,Male,after,19
Virtual,4,5,4,Other,after,20
Virtual,2,4,4,Female,after,21
Virtual,3,5,5,Male,after,22
Hybrid,2,5,8,NA,after,23
Hybrid,3,5,2,Male,after,24
Virtual,1,5,2,Male,after,25
Virtual,3,5,4,Other,after,26
Hybrid,4,3,2,Male,after,27
Hybrid,6,6,5,Female,after,28
Virtual,1,1,2,Female,after,29
Hybrid,5,5,3,Female,after,30
Virtual,6,6,2,NA,after,31
Hybrid,5,5,1,Male,after,32
Virtual,2,6,6,Male,after,33
Virtual,4,4,1,Male,after,34
Physical,5,4,3,Male,after,35
Virtual,2,5,5,Female,after,36
Physical,6,5,1,NA,after,37
Virtual,4,4,4,Female,after,38
Virtual,3,3,1,Female,after,39
Virtual,2,4,4,Female,after,40
