environment,classwork_stress,homework_stress,homework_hours,gender,time_frame
Physical,1,3,2,Male,before
Physical,5,4,2,Male,before
Virtual,1,3,10,Female,before
Physical,4,4,6,Male,before
Physical,3,4,4,Male,before
Physical,1,1,3,Male,before
Physical,2,3,3,Female,before
Physical,1,3,3,Male,before
Hybrid,3,3,3,Female,before
Physical,2,2,1,Female,before
Hybrid,3,2,4,Male,before
Physical,2,3,4,Female,before
Virtual,1,1,3,Female,before
Physical,2,2,4,Female,before
Physical,2,3,5,Female,before
Physical,5,4,9,Female,before
Physical,0,0,0,Female,before
Physical,3,5,3.5,Female,before
Physical,4,4,1,Male,before
Physical,2,5,2,Other,before
Physical,3,5,4,Female,before
Physical,3,4,3,Male,before
Physical,1,1,1,NA,before
Physical,2,3,1,Male,before
Physical,4,5,5,Male,before
Physical,1,3,3,Other,before
Physical,2,3,0,Male,before
Physical,4,4,2.5,Female,before
Physical,2,3,0,Female,before
Physical,2,1,0,Female,before
Physical,1,2,1,NA,before
Physical,3,4,1,Male,before
Physical,2,5,4,Male,before
Physical,2,2,1,Male,before
Physical,3,4,2,Male,before
Hybrid,1,4,2,Female,before
Physical,6,4,2,NA,before
Physical,2,2,3,Female,before
Virtual,2,1,1,Female,before
Physical,2,3,3,Female,before
Virtual,3,5,4.5,Male,after
Virtual,3,5,2.5,Male,after
Virtual,3,5,15,Female,after
Physical,5,1,6,Male,after
Physical,5,5,6,Male,after
Virtual,5,6,14,Male,after
Virtual,3,5,6,Female,after
Virtual,5,5,5,Male,after
Hybrid,2,4,1,Female,after
Virtual,1,2,5,Female,after
Virtual,4,3,4,Male,after
Virtual,4,5,8,Female,after
Virtual,5,6,5,Female,after
Virtual,2,3,7,Female,after
Virtual,6,6,7,Female,after
Virtual,6,5,10,Female,after
Virtual,3,3,6,Female,after
Physical,3,2,1.5,Female,after
Virtual,4,4,2,Male,after
Virtual,4,5,4,Other,after
Virtual,2,4,4,Female,after
Virtual,3,5,5,Male,after
Hybrid,2,5,8,NA,after
Hybrid,3,5,2,Male,after
Virtual,1,5,2,Male,after
Virtual,3,5,4,Other,after
Hybrid,4,3,2,Male,after
Hybrid,6,6,5,Female,after
Virtual,1,1,2,Female,after
Hybrid,5,5,3,Female,after
Virtual,6,6,2,NA,after
Hybrid,5,5,1,Male,after
Virtual,2,6,6,Male,after
Virtual,4,4,1,Male,after
Physical,5,4,3,Male,after
Virtual,2,5,5,Female,after
Physical,6,5,1,NA,after
Virtual,4,4,4,Female,after
Virtual,3,3,1,Female,after
Virtual,2,4,4,Female,after
