environment,classwork_stress,homework_stress,homework_hours,time_frame
Physical,1,3,2,before
Physical,5,4,2,before
Virtual,1,3,10,before
Physical,4,4,6,before
Physical,3,4,4,before
Physical,1,1,3,before
Physical,2,3,3,before
Physical,1,3,3,before
Hybrid,3,3,3,before
Physical,2,2,1,before
Hybrid,3,2,4,before
Physical,2,3,4,before
Virtual,1,1,3,before
Physical,2,2,4,before
Physical,2,3,5,before
Physical,5,4,9,before
Physical,0,0,0,before
Physical,3,5,3.5,before
Physical,4,4,1,before
Physical,2,5,2,before
Physical,3,5,4,before
Physical,3,4,3,before
Physical,1,1,1,before
Physical,2,3,1,before
Physical,4,5,5,before
Physical,1,3,3,before
Physical,2,3,0,before
Physical,4,4,2.5,before
Physical,2,3,0,before
Physical,2,1,0,before
Physical,1,2,1,before
Physical,3,4,1,before
Physical,2,5,4,before
Physical,2,2,1,before
Physical,3,4,2,before
Hybrid,1,4,2,before
Physical,6,4,2,before
Physical,2,2,3,before
Virtual,2,1,1,before
Physical,2,3,3,before
Virtual,3,5,4.5,after
Virtual,3,5,2.5,after
Virtual,3,5,15,after
Physical,5,1,6,after
Physical,5,5,6,after
Virtual,5,6,14,after
Virtual,3,5,6,after
Virtual,5,5,5,after
Hybrid,2,4,1,after
Virtual,1,2,5,after
Virtual,4,3,4,after
Virtual,4,5,8,after
Virtual,5,6,5,after
Virtual,2,3,7,after
Virtual,6,6,7,after
Virtual,6,5,10,after
Virtual,3,3,6,after
Physical,3,2,1.5,after
Virtual,4,4,2,after
Virtual,4,5,4,after
Virtual,2,4,4,after
Virtual,3,5,5,after
Hybrid,2,5,8,after
Hybrid,3,5,2,after
Virtual,1,5,2,after
Virtual,3,5,4,after
Hybrid,4,3,2,after
Hybrid,6,6,5,after
Virtual,1,1,2,after
Hybrid,5,5,3,after
Virtual,6,6,2,after
Hybrid,5,5,1,after
Virtual,2,6,6,after
Virtual,4,4,1,after
Physical,5,4,3,after
Virtual,2,5,5,after
Physical,6,5,1,after
Virtual,4,4,4,after
Virtual,3,3,1,after
Virtual,2,4,4,after
